                  Temp     Hi    Low   Out    Dew  Wind  Wind   Wind    Hi    Hi   Wind   Heat    THW                Rain    Heat    Cool    In     In    In     In     In   In Air  Wind  Wind    ISS   Arc.
  Date    Time     Out   Temp   Temp   Hum    Pt. Speed   Dir    Run Speed   Dir  Chill  Index  Index   Bar    Rain  Rate    D-D     D-D    Temp   Hum    Dew   Heat    EMC Density  Samp   Tx   Recept  Int.
10/31/18  2:30a   19.3   19.8   19.3    83   16.3   0.0   ---   0.00   0.0   ---   19.3   19.9   19.9  1033.9  0.00   0.0   0.000   0.020   22.9    52   12.6   22.8   9.58 1.2000    702    1    100.0   30 
10/31/18  3:00a   18.6   19.3   18.6    85   16.0   0.0   ---   0.00   0.0   ---   18.6   19.1   19.1  1034.1  0.00   0.0   0.000   0.006   22.5    53   12.4   22.3   9.75 1.2021    700    1    100.0   30 
10/31/18  3:30a   18.3   18.6   18.3    83   15.3   0.0     E   0.00   4.8     E   18.3   18.7   18.7  1034.4  0.00   0.0   0.001   0.000   22.0    54   12.3   21.6   9.92 1.2047    702    1    100.0   30 
10/31/18  4:00a   18.0   18.3   18.0    86   15.6   0.0   ---   0.00   0.0   ---   18.0   18.4   18.4  1034.5  0.00   0.0   0.007   0.000   21.6    54   11.8   20.9   9.93 1.2072    702    1    100.0   30 
10/31/18  4:30a   18.1   18.1   18.0    87   15.9   0.0   ---   0.00   0.0   ---   18.1   18.5   18.5  1034.8  0.00   0.0   0.006   0.000   21.2    55   11.8   20.6  10.15 1.2089    700    1    100.0   30 
10/31/18  5:00a   17.7   18.1   17.7    88   15.7   0.0     E   0.00   4.8     E   17.7   18.1   18.1  1035.3  0.00   0.0   0.014   0.000   20.8    56   11.7   20.2  10.36 1.2115    700    1    100.0   30 
10/31/18  5:30a   17.5   17.8   17.5    89   15.7   1.6     E   0.80   6.4     E   17.5   17.9   17.9  1035.6  0.00   0.0   0.017   0.000   20.4    57   11.6   19.9  10.58 1.2135    698    1    100.0   30 
10/31/18  6:00a   17.7   17.7   17.4    90   16.0   3.2     E   1.61   6.4     E   17.7   18.1   18.1  1036.0  0.00   0.0   0.014   0.000   20.1    59   11.8   19.8  10.95 1.2151    703    1    100.0   30 
10/31/18  6:30a   18.7   18.7   17.6    90   17.0   0.0     E   0.00   4.8     E   18.7   19.3   19.3  1036.3  0.00   0.0   0.000   0.007   20.4    62   12.9   20.3  11.37 1.2126    699    1    100.0   30 
10/31/18  7:00a   20.8   20.8   18.7    85   18.2   3.2   ESE   1.61   6.4     E   20.8   21.7   21.7  1036.7  0.00   0.0   0.000   0.051   22.5    68   16.3   22.9  12.55 1.2004    700    1    100.0   30 
10/31/18  7:30a   22.6   22.6   20.8    78   18.6   1.6     S   0.80   6.4     S   22.6   23.4   23.4  1037.3  0.00   0.0   0.000   0.089   25.4    68   19.1   26.3  12.44 1.1854    700    1    100.0   30 
